prolific_pid,trial,balance,chosen_number,winner_number,banner_yn,win_status,hot_set_size,outcome_rel_to_hot,choice_hot,regret_chosen,regret_notchosen_winner,regret_notchosen_hot_loser,comp_tries_to_pass
5d88f2f8cefb52001a83f1b2,3,0.07000000000000002,13,24,Banner,Lost,16,hot_win_number,Chose Hot,85,100,0,3
5d88f2f8cefb52001a83f1b2,4,0.42,13,13,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,3
5dcdb60be64aaa07c14065cc,1,0.09000000000000001,7,3,No Banner,Lost,0,NA,Chose Non-Hot,94,86,NA,2
5dcdb60be64aaa07c14065cc,2,0.08000000000000002,14,17,Banner,Lost,2,hot_win_number,Chose Hot,75,90,NA,2
5dcdb60be64aaa07c14065cc,3,0.07000000000000002,12,6,Banner,Lost,16,hot_win_number,Chose Hot,84,97,0,2
5dcdb60be64aaa07c14065cc,4,0.42,12,12,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,2
5dd61f689740545c506ee244,1,0.09000000000000001,22,10,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,1
5dd61f689740545c506ee244,2,0.08000000000000002,19,35,Banner,Lost,2,hot_win_number,Chose Hot,50,50,NA,1
5dd61f689740545c506ee244,3,0.07000000000000002,29,10,Banner,Lost,16,hot_win_number,Chose Hot,100,100,0,1
5dd61f689740545c506ee244,4,0.42,23,23,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,1
5dd61f689740545c506ee244,5,0.09000000000000001,22,19,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,1
5dd61f689740545c506ee244,6,0.08000000000000002,21,29,Banner,Lost,2,hot_win_number,Chose Hot,100,100,NA,1
5dd61f689740545c506ee244,7,0.07000000000000002,21,30,Banner,Lost,16,hot_win_number,Chose Hot,100,100,0,1
5dd61f689740545c506ee244,8,0.42,22,22,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,1
5df81cd72713055bdf02efd8,1,0.09000000000000001,17,3,No Banner,Lost,0,NA,Chose Non-Hot,2,99,NA,2
5df81cd72713055bdf02efd8,2,0.08000000000000002,17,24,Banner,Lost,2,hot_win_number,Chose Non-Hot,2,98,0,2
5df81cd72713055bdf02efd8,3,0.07000000000000002,17,4,Banner,Lost,16,hot_win_number,Chose Non-Hot,0,100,0,2
5df81cd72713055bdf02efd8,4,0.42,17,17,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,2
5e0571b7e297d5fa932cf415,1,0.09000000000000001,18,32,No Banner,Lost,0,NA,Chose Non-Hot,97,97,NA,2
5e0571b7e297d5fa932cf415,2,0.08000000000000002,29,9,Banner,Lost,2,hot_win_number,Chose Hot,97,100,NA,2
5e0571b7e297d5fa932cf415,3,0.07000000000000002,11,4,Banner,Lost,16,hot_win_number,Chose Hot,99,98,0,2
5e0571b7e297d5fa932cf415,4,0.42,17,17,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,2
5efb5360f3f69c084c1ca850,1,0.09000000000000001,16,21,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,3
5efb5360f3f69c084c1ca850,2,0.08000000000000002,15,26,Banner,Lost,2,hot_win_number,Chose Hot,100,100,NA,3
5efb5360f3f69c084c1ca850,3,0.07000000000000002,14,12,Banner,Lost,16,hot_win_number,Chose Hot,100,100,0,3
5efb5360f3f69c084c1ca850,4,0.42,27,27,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,3
5f285dc5b09b3715fa20a14c,1,0.09000000000000001,11,6,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,5
5f285dc5b09b3715fa20a14c,2,0.08000000000000002,7,31,Banner,Lost,2,hot_win_number,Chose Non-Hot,100,100,100,5
5f285dc5b09b3715fa20a14c,3,0.07000000000000002,7,34,Banner,Lost,16,hot_win_number,Chose Hot,100,100,0,5
