prolific_pid,trial,balance,chosen_number,winner_number,banner_yn,win_status,hot_set_size,outcome_rel_to_hot,regret_chosen,regret_notchosen_winner,regret_notchosen_hot_loser
5dd61a909ca8a35c14d8d610,16,1.2199999999999998,31,7,1,0,2,nonhot_win_number,0,0,0
5dd61a909ca8a35c14d8d610,17,1.2099999999999995,6,9,0,0,0,NA,0,0,NA
5dd61a909ca8a35c14d8d610,18,1.1999999999999995,8,10,1,0,1,nonhot_win_number,0,0,0
5dd61a909ca8a35c14d8d610,19,1.1899999999999995,7,25,0,0,0,NA,0,0,NA
5dd61a909ca8a35c14d8d610,20,1.1799999999999995,15,22,0,0,0,NA,0,0,NA
5dd61a909ca8a35c14d8d610,21,1.5299999999999998,33,33,0,1,0,NA,0,NA,NA
5dd61a909ca8a35c14d8d610,22,1.5199999999999998,17,29,0,0,0,NA,0,0,NA
5dd61a909ca8a35c14d8d610,23,1.5099999999999998,7,11,1,0,2,hot_win_number,0,0,NA
5dd61a909ca8a35c14d8d610,24,1.4999999999999998,29,25,0,0,0,NA,0,0,NA
5e59ee3a2bff541fcf05d86e,1,0.29,36,12,1,0,2,hot_win_number,72,76,NA
5e59ee3a2bff541fcf05d86e,2,0.27999999999999997,22,20,1,0,1,nonhot_win_number,44,29,NA
5e59ee3a2bff541fcf05d86e,3,0.26999999999999996,16,34,0,0,0,NA,25,29,NA
5e59ee3a2bff541fcf05d86e,4,0.25999999999999995,4,2,1,0,3,hot_win_number,65,64,0
5e59ee3a2bff541fcf05d86e,5,0.6099999999999999,26,26,0,1,0,NA,0,NA,NA
5e59ee3a2bff541fcf05d86e,6,0.5999999999999999,17,20,0,0,0,NA,25,25,NA
5e59ee3a2bff541fcf05d86e,7,0.5899999999999999,8,19,0,0,0,NA,30,20,NA
5e59ee3a2bff541fcf05d86e,8,0.5799999999999998,17,15,0,0,0,NA,21,22,NA
5e59ee3a2bff541fcf05d86e,9,0.5699999999999998,26,27,1,0,16,hot_win_number,58,29,0
5e59ee3a2bff541fcf05d86e,10,0.9199999999999998,5,5,0,1,0,NA,0,NA,NA
5e59ee3a2bff541fcf05d86e,11,0.9099999999999998,19,10,0,0,0,NA,17,23,NA
5e59ee3a2bff541fcf05d86e,12,0.8999999999999998,34,6,1,0,3,nonhot_win_number,38,21,0
5e59ee3a2bff541fcf05d86e,13,0.8899999999999998,4,16,1,0,8,hot_win_number,21,20,0
5e59ee3a2bff541fcf05d86e,14,0.8799999999999998,21,16,0,0,0,NA,34,36,NA
5e59ee3a2bff541fcf05d86e,15,1.2299999999999998,9,9,0,1,0,NA,0,NA,NA
5e59ee3a2bff541fcf05d86e,16,1.2199999999999998,23,14,1,0,16,nonhot_win_number,40,29,0
5e59ee3a2bff541fcf05d86e,17,1.2099999999999995,10,19,0,0,0,NA,31,30,NA
5e59ee3a2bff541fcf05d86e,18,1.1999999999999995,18,15,1,0,8,nonhot_win_number,23,21,0
5e59ee3a2bff541fcf05d86e,19,1.1899999999999995,14,35,1,0,1,nonhot_win_number,75,38,NA
5e59ee3a2bff541fcf05d86e,20,1.1799999999999995,27,29,0,0,0,NA,38,39,NA
5e59ee3a2bff541fcf05d86e,21,1.5299999999999998,8,8,0,1,0,NA,0,NA,NA
